,response1,subjectID,age,gender,numberofsiblings,gamestrategy
0,"{
    ""subjectID"": ""2760508-1"",
    ""age"": 26,
    ""gender"": ""Male"",
    ""numberSiblings"": 1,
    ""donation"": 0.0,
    ""strategy"": ""Try to earn as much money as possible for myself.""
}",2760508-1,26,Male,1,Try to earn as much money as possible for myself.
1,"{
    ""subjectID"": ""8095289-6"",
    ""age"": 29,
    ""gender"": ""Male"",
    ""numberSiblings"": 1,
    ""donation"": 0.0,
    ""strategy"": ""Try to earn as much money as possible for me and my match.;Try to help my match if it did not cost me anything.;""
}",8095289-6,29,Male,1,Try to earn as much money as possible for me and my match.;Try to help my match if it did not cost me anything.;
2,"{
    ""subjectID"": ""101"",
    ""age"": 25,
    ""gender"": ""Female"",
    ""numberSiblings"": 1,
    ""donation"": 0.0,
    ""strategy"": ""Try to earn as much money as possible for myself.;Try to earn as much money as possible for me and my match.""
}",101,25,Female,1,Try to earn as much money as possible for myself.;Try to earn as much money as possible for me and my match.
3,"{
    ""subjectID"": ""1018"",
    ""age"": 47,
    ""gender"": ""Female"",
    ""numberSiblings"": 5,
    ""donation"": 20.0,
    ""strategy"": ""Try to earn as much money as possible for myself.;Try to help my match if it did not cost me anything.;""
}",1018,47,Female,5,Try to earn as much money as possible for myself.;Try to help my match if it did not cost me anything.;
4,"{
    ""subjectID"": ""5015330-1"",
    ""age"": 22,
    ""gender"": ""Female"",
    ""numberSiblings"": 3,
    ""donation"": 0.0,
    ""strategy"": ""Try to earn as much money as possible for myself.;Try to help my match if it did not cost me anything.;""
}",5015330-1,22,Female,3,Try to earn as much money as possible for myself.;Try to help my match if it did not cost me anything.;
5,"{
    ""subjectID"": ""050310PQ-2"",
    ""age"": 28,
    ""gender"": ""Male"",
    ""numberSiblings"": 1,
    ""donation"": 0.0,
    ""strategy"": ""Try to earn as much money as possible for myself.;Try to earn as much money as possible for me and my match.""
}",050310PQ-2,28,Male,1,Try to earn as much money as possible for myself.;Try to earn as much money as possible for me and my match.
6,"{
    ""subjectID"": ""002"",
    ""age"": 24,
    ""gender"": ""Female"",
    ""numberSiblings"": 1,
    ""donation"": 0,
    ""strategy"": ""Try to earn as much money as possible for myself.;Try to choose equal payoff for me and my match.""
}",002,24,Female,1,Try to earn as much money as possible for myself.;Try to choose equal payoff for me and my match.
7,"{
    ""subjectID"": ""001"",
    ""age"": 25,
    ""gender"": ""Female"",
    ""numberSiblings"": 1,
    ""donation"": 0.0,
    ""strategy"": ""Try to earn as much money as possible for myself.;Try to earn as much money as possible for myself and my match.;Try to help my match if it did not cost me anything.""
}",001,25,Female,1,Try to earn as much money as possible for myself.;Try to earn as much money as possible for myself and my match.;Try to help my match if it did not cost me anything.
8,"{
    ""subjectID"": ""1912-10"",
    ""age"": 23,
    ""gender"": ""Male"",
    ""numberSiblings"": 1,
    ""donation"": 15.0,
    ""strategy"": ""Try to earn as much money as possible for me and my match.;Try to help my match even at my own expense.;""
}",1912-10,23,Male,1,Try to earn as much money as possible for me and my match.;Try to help my match even at my own expense.;
9,"{
    ""subjectID"": ""903-07-#011"",
    ""age"": 24,
    ""gender"": ""Female"",
    ""numberSiblings"": 1,
    ""donation"": 25.0,
    ""strategy"": ""Try to choose equal payoff;Try to help my match if it did not cost me anything;Try to help my match even at my own expense;Try to earn as much money as possible for myself and my match.;""
}",903-07-#011,24,Female,1,Try to choose equal payoff;Try to help my match if it did not cost me anything;Try to help my match even at my own expense;Try to earn as much money as possible for myself and my match.;
10,"{
    ""subjectID"": 1001,
    ""age"": 28,
    ""gender"": ""Female"",
    ""numberSiblings"": 0,
    ""donation"": 100.0,
    ""strategy"": ""Try to earn as much money as possible for myself. Try to help my match if it did not cost me anything.""
}",1001,28,Female,0,Try to earn as much money as possible for myself. Try to help my match if it did not cost me anything.
11,"{
    ""subjectID"": 1001,
    ""age"": 22,
    ""gender"": ""Female"",
    ""numberSiblings"": 1,
    ""donation"": 50.0,
    ""strategy"": ""Try to help my match if it did not cost me anything.""
}",1001,22,Female,1,Try to help my match if it did not cost me anything.
12,"{
    ""subjectID"": ""0518026-4"",
    ""age"": 22,
    ""gender"": ""Female"",
    ""numberSiblings"": 1,
    ""donation"": 0.0,
    ""strategy"": ""Try to earn as much money as possible for me and my match.""
}",0518026-4,22,Female,1,Try to earn as much money as possible for me and my match.
13,"{
    ""subjectID"": ""008"",
    ""age"": 35,
    ""gender"": ""Female"",
    ""numberSiblings"": 3,
    ""donation"": 120.0,
    ""strategy"": ""Try to earn as much money as possible for myself;Try to help my match if it did not cost me anything;""
}",008,35,Female,3,Try to earn as much money as possible for myself;Try to help my match if it did not cost me anything;
